DocumentodeLiquidacao,CodigoNotadeEmpenho,CodigoNaturezaDaDespesa,CodigoFonteDeRecurso,CodigoDetalhamentoFr,NUMERO_PROCESSO,CodigoProjetoAtividade,InstituicaoCodigoUnidadeGestora,Credor_Nome,CONTRATO,CONVENIO,Valor Original,Valor Liquido,Valor Bruto,Valor Retido,Valor Pago,Valor Liquidado a Pagar,Valor Liquido2
2021160101DL000001,2021160101NE02422,33903999,1550000004,0,562911/2021,XXXX,160101,Crédito Rotativo das Escolas da Rede Pública de Ensino,#null,#null,R$ 200.00,R$ 200.00,R$ 200.00,R$ 0.00,R$ 0.00,R$ 200.00,200
2021160101DL000002,2021160101NE03501,33909299,2999000006,2326,1423182/2019,XXXX,160101,R C V R DE OLIVEIRA LTDA-EPP,#null,#null,"R$ 13,977.50","R$ 13,977.50","R$ 13,977.50",R$ 0.00,"R$ 13,977.00",R$ 0.50,13977.5
2021160101DL000003,2021160101NE03503,33909299,2999000006,1671,1423182/2019,XXXX,160101,R C V R DE OLIVEIRA LTDA-EPP,#null,#null,"R$ 10,768.50","R$ 10,768.50","R$ 10,768.50",R$ 0.00,"R$ 10,768.50",R$ 0.00,10768.5
2021160101DL000004,2021160101NE03507,33909299,2999000006,2613,1423182/2021,XXXX,160101,R C V R DE OLIVEIRA LTDA-EPP,#null,#null,"R$ 1,372.50","R$ 1,372.50","R$ 1,372.50",R$ 0.00,"R$ 1,372.50",R$ 0.00,1372.5
2021160101DL000005,2021160101NE03511,33909299,2552000006,2324,1423182/2019,XXXX,160101,R C V R DE OLIVEIRA LTDA-EPP,#null,#null,"R$ 24,394.50","R$ 24,394.50","R$ 24,394.50",R$ 0.00,R$ 0.00,"R$ 24,394.50",24394.5
2021160101DL000006,2021160101NE08106,33903799,1500100102,6360,1254095/2021,XXXX,160101,JR LIMPEZA E CONSERVAÇÃO LTDA,#null,#null,R$ 0.33,R$ 0.33,R$ 0.33,R$ 0.00,R$ 0.00,R$ 0.33,0.33
2021160101DL000007,2021160101NE09195,44909299,2570000006,3096,2021/1431591,XXXX,160101,A3 ENGENHARIA COMERCIO E REPRESENTACOES LTDA,#null,#null,"R$ 67,777.79","R$ 67,777.79","R$ 67,777.79",R$ 0.00,R$ 0.00,"R$ 67,777.79",67777.79
2022160101DL000001,2022160101NE00062,33903944,1550000004,2156,34958/2022,XXXX,160101,COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS,0,0,"R$ 3,427.25","R$ 3,427.25","R$ 3,427.25",R$ 0.00,"R$ 3,427.25",R$ 0.00,3427.25
2022160101DL000002,2022160101NE00071,33903944,1550000004,2156,34984/2022,XXXX,160101,BRK AMBIENTAL-ARAGUAIA SANEAMENTO S/A,0,0,R$ 139.65,R$ 139.65,R$ 139.65,R$ 0.00,R$ 139.65,R$ 0.00,139.65
2022160101DL000003,2022160101NE00274,33903958,1500100102,2156,37706/2022,XXXX,160101,OI S.A.- EM RECUPERACAO JUDICIAL,2002020,0,"R$ 9,348.17","R$ 9,348.17","R$ 9,348.17",R$ 0.00,"R$ 9,348.17",R$ 0.00,9348.17
2022160101DL000004,2022160101NE00275,33903958,1500100102,2156,37706/2022,XXXX,160101,OI S.A.- EM RECUPERACAO JUDICIAL,2002020,0,R$ 255.60,R$ 255.60,R$ 255.60,R$ 0.00,R$ 255.60,R$ 0.00,255.6
2022160101DL000005,2022160101NE00424,33903944,1550000004,2156,132338/2022,XXXX,160101,AGENCIA DE SANEAMENTO DE PARAGOMINAS,0,0,R$ 894.10,R$ 894.10,R$ 894.10,R$ 0.00,R$ 894.10,R$ 0.00,894.1
2022160101DL000006,2022160101NE04486,31909211,1500100102,0,2013/390681,XXXX,160101,MARIA TEREZINHA AVIZ DOS SANTOS,0,0,R$ 688.50,R$ 688.50,R$ 688.50,R$ 0.00,R$ 0.00,R$ 688.50,688.5
2022160101DL000007,2022160101NE07618,33909246,1500100102,0,2020/877725,XXXX,160101,IRACEMA DA SILVA FERNANDES,0,0,R$ 694.74,R$ 694.74,R$ 694.74,R$ 0.00,R$ 0.00,R$ 694.74,694.74
2022160101DL000008,2022160101NE09325,33903958,2599000027,2156,1245855/2022,XXXX,160101,OI S.A.- EM RECUPERACAO JUDICIAL,2002020,0,"R$ 44,984.81","R$ 44,984.81","R$ 44,984.81",R$ 0.00,"R$ 44,984.81",R$ 0.00,44984.81
2022160101DL000009,2022160101NE09331,33903958,1599000027,2156,1245855/2022,XXXX,160101,OI S.A.- EM RECUPERACAO JUDICIAL,2002020,0,"R$ 15,515.02","R$ 15,515.02","R$ 15,515.02",R$ 0.00,"R$ 15,515.02",R$ 0.00,15515.02
2022160101DL000010,2022160101NE11685,44905191,1754000030,10327,2022/1428866,XXXX,160101,SANECON SANEAMENTO E CONST.CIVIL EIRELI,0,0,"R$ 55,132.76","R$ 55,132.76","R$ 55,132.76",R$ 0.00,"R$ 55,132.76",R$ 0.00,55132.76
2022160101DL000011,2022160101NE11688,44905191,1754000030,10327,2022/1428962,XXXX,160101,SANECON SANEAMENTO E CONST.CIVIL EIRELI,0,0,"R$ 87,568.26","R$ 87,568.26","R$ 87,568.26",R$ 0.00,"R$ 87,568.26",R$ 0.00,87568.26
2022160101DL000012,2022160101NE11811,33903958,1550000004,2156,1551107/2022,XXXX,160101,OI S.A.- EM RECUPERACAO JUDICIAL,2002020,0,"R$ 1,932.00","R$ 1,932.00","R$ 1,932.00",R$ 0.00,"R$ 1,931.06",R$ 0.94,1932
2022160101DL000013,2022160101NE12236,31909211,1500100102,0,2016/33888,XXXX,160101,MARIA SALETE SOARES BATISTA,0,0,"R$ 3,034.06","R$ 3,034.06","R$ 3,034.06",R$ 0.00,"R$ 3,034.06",R$ 0.00,3034.06
2022160101DL000014,2022160101NE12239,44905191,1500100102,0,2022/1465490,XXXX,160101,ESTRURURAL CONSTRUÇÕES E SERVIÇOS LTDA,0,0,"R$ 171,231.57","R$ 171,231.57","R$ 171,231.57",R$ 0.00,"R$ 171,231.57",R$ 0.00,171231.57
2022160101DL000015,2022160101NE12288,33903701,1500100102,6360,1525079/2022,XXXX,160101,KAPA CAPITAL FACILITIES LTDA,342019,0,"R$ 133,416.45","R$ 133,416.45","R$ 133,416.45",R$ 0.00,"R$ 133,416.45",R$ 0.00,133416.45
